Starting latency sender on interface: vcan0
Sent speed: 98.034821 at timestamp: 1765964092.959642
Sent speed: 76.249458 at timestamp: 1765964092.969942
Sent speed: 0.870370 at timestamp: 1765964092.980238
Sent speed: 95.773666 at timestamp: 1765964092.990417
Sent speed: 11.519062 at timestamp: 1765964093.000737
Sent speed: 35.782104 at timestamp: 1765964093.010955
Sent speed: 36.468018 at timestamp: 1765964093.021205
Sent speed: 56.196724 at timestamp: 1765964093.031447
Sent speed: 31.937595 at timestamp: 1765964093.041599
Sent speed: 74.201263 at timestamp: 1765964093.051914
Sent speed: 23.162470 at timestamp: 1765964093.062067
Sent speed: 45.042015 at timestamp: 1765964093.072289
Sent speed: 53.013699 at timestamp: 1765964093.082430
Sent speed: 88.737816 at timestamp: 1765964093.092563
Sent speed: 40.557392 at timestamp: 1765964093.102777
Sent speed: 55.451477 at timestamp: 1765964093.112968
Sent speed: 85.488495 at timestamp: 1765964093.123222
Sent speed: 88.662300 at timestamp: 1765964093.133607
Sent speed: 97.439507 at timestamp: 1765964093.143863
Sent speed: 9.012501 at timestamp: 1765964093.154154
Sent speed: 18.021687 at timestamp: 1765964093.164290
Sent speed: 13.825178 at timestamp: 1765964093.174495
Sent speed: 68.148117 at timestamp: 1765964093.184640
Sent speed: 13.919065 at timestamp: 1765964093.194773
Sent speed: 76.513992 at timestamp: 1765964093.204989
Sent speed: 70.298073 at timestamp: 1765964093.215210
Sent speed: 70.491699 at timestamp: 1765964093.225356
Sent speed: 84.944656 at timestamp: 1765964093.235604
Sent speed: 96.541183 at timestamp: 1765964093.245740
Sent speed: 89.538887 at timestamp: 1765964093.255989
Sent speed: 46.518570 at timestamp: 1765964093.266236
Sent speed: 7.309046 at timestamp: 1765964093.276492
Sent speed: 66.607666 at timestamp: 1765964093.286631
Sent speed: 97.102966 at timestamp: 1765964093.296783
Sent speed: 70.542351 at timestamp: 1765964093.306999
Sent speed: 30.647612 at timestamp: 1765964093.317225
Sent speed: 41.785831 at timestamp: 1765964093.327374
Sent speed: 86.717323 at timestamp: 1765964093.337593
Sent speed: 43.986279 at timestamp: 1765964093.347802
Sent speed: 16.538412 at timestamp: 1765964093.358001
Sent speed: 84.733772 at timestamp: 1765964093.368220
Sent speed: 49.904629 at timestamp: 1765964093.378353
Sent speed: 93.859451 at timestamp: 1765964093.388475
Sent speed: 36.956589 at timestamp: 1765964093.398712
Sent speed: 55.043972 at timestamp: 1765964093.408950
Sent speed: 73.612297 at timestamp: 1765964093.419158
Sent speed: 10.930806 at timestamp: 1765964093.429406
Sent speed: 1.011555 at timestamp: 1765964093.439618
Sent speed: 24.439638 at timestamp: 1765964093.449759
Sent speed: 84.900650 at timestamp: 1765964093.459968
Sent speed: 75.142815 at timestamp: 1765964093.470267
Sent speed: 83.199318 at timestamp: 1765964093.480404
Sent speed: 64.134048 at timestamp: 1765964093.490526
Sent speed: 50.953884 at timestamp: 1765964093.500779
Sent speed: 21.984222 at timestamp: 1765964093.510991
Sent speed: 39.636303 at timestamp: 1765964093.521212
Sent speed: 27.843412 at timestamp: 1765964093.531407
Sent speed: 52.042568 at timestamp: 1765964093.541645
Sent speed: 68.192200 at timestamp: 1765964093.551795
Sent speed: 24.564342 at timestamp: 1765964093.562005
Sent speed: 86.006989 at timestamp: 1765964093.572208
Sent speed: 10.345314 at timestamp: 1765964093.582350
Sent speed: 58.674507 at timestamp: 1765964093.592472
Sent speed: 90.531876 at timestamp: 1765964093.602683
Sent speed: 82.981743 at timestamp: 1765964093.612817
Sent speed: 88.601341 at timestamp: 1765964093.622941
Sent speed: 66.308990 at timestamp: 1765964093.633052
Sent speed: 72.712891 at timestamp: 1765964093.643137
Sent speed: 46.273872 at timestamp: 1765964093.653200
Sent speed: 37.976654 at timestamp: 1765964093.663324
Sent speed: 13.876343 at timestamp: 1765964093.673413
Sent speed: 3.678723 at timestamp: 1765964093.683507
Sent speed: 11.859388 at timestamp: 1765964093.693626
Sent speed: 87.256393 at timestamp: 1765964093.703736
Sent speed: 85.256119 at timestamp: 1765964093.713933
Sent speed: 53.978832 at timestamp: 1765964093.724195
Sent speed: 64.683807 at timestamp: 1765964093.734345
Sent speed: 4.484104 at timestamp: 1765964093.744502
Sent speed: 71.341797 at timestamp: 1765964093.754677
Sent speed: 81.936134 at timestamp: 1765964093.764892
Sent speed: 62.622185 at timestamp: 1765964093.775147
Sent speed: 20.898720 at timestamp: 1765964093.785462
Sent speed: 58.129936 at timestamp: 1765964093.795640
Sent speed: 31.916042 at timestamp: 1765964093.805944
Sent speed: 78.322304 at timestamp: 1765964093.816123
Sent speed: 62.476528 at timestamp: 1765964093.826352
Sent speed: 63.799564 at timestamp: 1765964093.836695
Sent speed: 15.847076 at timestamp: 1765964093.846870
Sent speed: 99.436378 at timestamp: 1765964093.857135
Sent speed: 79.295090 at timestamp: 1765964093.867306
Sent speed: 93.891815 at timestamp: 1765964093.877471
Sent speed: 18.421118 at timestamp: 1765964093.887647
Sent speed: 38.906723 at timestamp: 1765964093.897913
Sent speed: 99.130684 at timestamp: 1765964093.908271
Sent speed: 67.521233 at timestamp: 1765964093.918547
Sent speed: 17.656897 at timestamp: 1765964093.928713
Sent speed: 46.382088 at timestamp: 1765964093.938976
Sent speed: 43.804546 at timestamp: 1765964093.949164
Sent speed: 18.998083 at timestamp: 1765964093.959300
Sent speed: 9.746254 at timestamp: 1765964093.969557
Sent speed: 6.388209 at timestamp: 1765964093.979738
Sent speed: 36.253746 at timestamp: 1765964093.990005
Sent speed: 94.513847 at timestamp: 1765964094.000158
Sent speed: 41.465290 at timestamp: 1765964094.010352
Sent speed: 61.188156 at timestamp: 1765964094.020516
Sent speed: 7.398736 at timestamp: 1765964094.030668
Sent speed: 66.349152 at timestamp: 1765964094.040943
Sent speed: 92.160316 at timestamp: 1765964094.051342
Sent speed: 56.659698 at timestamp: 1765964094.061484
Sent speed: 25.081707 at timestamp: 1765964094.071642
Sent speed: 61.091019 at timestamp: 1765964094.081897
Sent speed: 39.624748 at timestamp: 1765964094.092062
Sent speed: 10.367690 at timestamp: 1765964094.102324
Sent speed: 53.853764 at timestamp: 1765964094.112491
Sent speed: 54.707283 at timestamp: 1765964094.122650
Sent speed: 8.144275 at timestamp: 1765964094.132896
Sent speed: 60.035179 at timestamp: 1765964094.143159
Sent speed: 27.667242 at timestamp: 1765964094.153335
Sent speed: 10.271656 at timestamp: 1765964094.163485
Sent speed: 58.261364 at timestamp: 1765964094.173749
Sent speed: 43.461315 at timestamp: 1765964094.184010
Sent speed: 31.142330 at timestamp: 1765964094.194279
Sent speed: 40.238201 at timestamp: 1765964094.204543
Sent speed: 40.212040 at timestamp: 1765964094.214722
Sent speed: 86.506966 at timestamp: 1765964094.224941
Sent speed: 18.492065 at timestamp: 1765964094.235192
Sent speed: 69.260719 at timestamp: 1765964094.245453
Sent speed: 53.265678 at timestamp: 1765964094.255656
Sent speed: 20.112112 at timestamp: 1765964094.266011
Sent speed: 78.874146 at timestamp: 1765964094.276305
Sent speed: 54.468174 at timestamp: 1765964094.286562
Sent speed: 98.859764 at timestamp: 1765964094.296732
Sent speed: 1.370588 at timestamp: 1765964094.306952
Sent speed: 64.392342 at timestamp: 1765964094.317165
Sent speed: 58.611233 at timestamp: 1765964094.327294
Sent speed: 30.564993 at timestamp: 1765964094.337490
Sent speed: 7.414933 at timestamp: 1765964094.347708
Sent speed: 10.966415 at timestamp: 1765964094.357845
Sent speed: 64.464775 at timestamp: 1765964094.368045
Sent speed: 9.532942 at timestamp: 1765964094.378183
Sent speed: 72.337357 at timestamp: 1765964094.388308
Sent speed: 31.593275 at timestamp: 1765964094.398508
Sent speed: 48.109703 at timestamp: 1765964094.408733
Sent speed: 30.818754 at timestamp: 1765964094.418940
Sent speed: 77.942070 at timestamp: 1765964094.429144
Sent speed: 66.500175 at timestamp: 1765964094.439286
Sent speed: 28.056368 at timestamp: 1765964094.449512
Sent speed: 79.349480 at timestamp: 1765964094.459732
Sent speed: 37.263218 at timestamp: 1765964094.469951
Sent speed: 68.553474 at timestamp: 1765964094.480196
Sent speed: 75.198082 at timestamp: 1765964094.490337
Sent speed: 23.023453 at timestamp: 1765964094.500542
Sent speed: 45.091496 at timestamp: 1765964094.510751
Sent speed: 95.261414 at timestamp: 1765964094.520957
Sent speed: 28.384008 at timestamp: 1765964094.531168
Sent speed: 40.842663 at timestamp: 1765964094.541415
Sent speed: 72.437775 at timestamp: 1765964094.551633
Sent speed: 23.369236 at timestamp: 1765964094.561778
Sent speed: 61.107384 at timestamp: 1765964094.571988
Sent speed: 36.119686 at timestamp: 1765964094.582191
Sent speed: 75.586296 at timestamp: 1765964094.592298
Sent speed: 59.628849 at timestamp: 1765964094.602497
Sent speed: 18.596087 at timestamp: 1765964094.612734
Sent speed: 76.311806 at timestamp: 1765964094.622867
Sent speed: 60.699970 at timestamp: 1765964094.633075
Sent speed: 22.105015 at timestamp: 1765964094.643291
Sent speed: 48.037884 at timestamp: 1765964094.653499
Sent speed: 12.596303 at timestamp: 1765964094.663642
Sent speed: 45.026054 at timestamp: 1765964094.673864
Sent speed: 95.681610 at timestamp: 1765964094.684123
Sent speed: 27.466595 at timestamp: 1765964094.694285
Sent speed: 35.527046 at timestamp: 1765964094.704482
Sent speed: 87.358215 at timestamp: 1765964094.714691
Sent speed: 30.918261 at timestamp: 1765964094.724829
Sent speed: 6.014933 at timestamp: 1765964094.735069
Sent speed: 38.687355 at timestamp: 1765964094.745292
Sent speed: 6.209740 at timestamp: 1765964094.755487
Sent speed: 51.630981 at timestamp: 1765964094.765726
Sent speed: 52.615623 at timestamp: 1765964094.775903
Sent speed: 29.066631 at timestamp: 1765964094.786167
Sent speed: 62.357502 at timestamp: 1765964094.796349
Sent speed: 36.359329 at timestamp: 1765964094.806708
Sent speed: 81.510506 at timestamp: 1765964094.817005
Sent speed: 99.484703 at timestamp: 1765964094.827167
Sent speed: 97.877708 at timestamp: 1765964094.837383
Sent speed: 68.521568 at timestamp: 1765964094.847561
Sent speed: 85.841286 at timestamp: 1765964094.857721
Sent speed: 1.709097 at timestamp: 1765964094.867962
Sent speed: 36.785015 at timestamp: 1765964094.878223
Sent speed: 16.672201 at timestamp: 1765964094.888495
Sent speed: 3.754225 at timestamp: 1765964094.898661
Sent speed: 44.592579 at timestamp: 1765964094.908832
Sent speed: 39.172298 at timestamp: 1765964094.919105
Sent speed: 80.802261 at timestamp: 1765964094.929298
Sent speed: 49.709572 at timestamp: 1765964094.939546
Sent speed: 44.087517 at timestamp: 1765964094.949949
Sent speed: 7.826280 at timestamp: 1765964094.960142
Sent speed: 12.567544 at timestamp: 1765964094.970402
Sent speed: 24.236057 at timestamp: 1765964094.980664
Sent speed: 0.407635 at timestamp: 1765964094.990870
Sent speed: 74.405846 at timestamp: 1765964095.001107
Sent speed: 70.995461 at timestamp: 1765964095.011325
Sent speed: 7.663850 at timestamp: 1765964095.021595
Sent speed: 73.813171 at timestamp: 1765964095.031776
Sent speed: 74.635307 at timestamp: 1765964095.041922
Sent speed: 59.586334 at timestamp: 1765964095.052045
Sent speed: 97.286613 at timestamp: 1765964095.062222
Sent speed: 96.678421 at timestamp: 1765964095.072424
Sent speed: 2.023048 at timestamp: 1765964095.082545
Sent speed: 23.435726 at timestamp: 1765964095.092740
Sent speed: 51.673794 at timestamp: 1765964095.102936
Sent speed: 5.013286 at timestamp: 1765964095.113159
Sent speed: 50.059246 at timestamp: 1765964095.123304
Sent speed: 77.839058 at timestamp: 1765964095.133409
Sent speed: 48.983810 at timestamp: 1765964095.143512
Sent speed: 48.729847 at timestamp: 1765964095.153645
Sent speed: 57.919399 at timestamp: 1765964095.163762
Sent speed: 10.655959 at timestamp: 1765964095.173872
Sent speed: 86.181587 at timestamp: 1765964095.184071
Sent speed: 89.994507 at timestamp: 1765964095.194276
Sent speed: 64.755875 at timestamp: 1765964095.204392
Sent speed: 23.623764 at timestamp: 1765964095.214525
Sent speed: 84.177505 at timestamp: 1765964095.224665
Sent speed: 94.431976 at timestamp: 1765964095.234791
Sent speed: 43.059254 at timestamp: 1765964095.244909
Sent speed: 96.927315 at timestamp: 1765964095.255030
Sent speed: 58.415569 at timestamp: 1765964095.265137
Sent speed: 84.032051 at timestamp: 1765964095.275260
Sent speed: 11.108063 at timestamp: 1765964095.285369
Sent speed: 82.096558 at timestamp: 1765964095.295467
Sent speed: 94.866379 at timestamp: 1765964095.305605
Sent speed: 18.049570 at timestamp: 1765964095.315752
Sent speed: 7.864275 at timestamp: 1765964095.325974
Sent speed: 34.884609 at timestamp: 1765964095.336198
Sent speed: 60.608547 at timestamp: 1765964095.346334
Sent speed: 94.940285 at timestamp: 1765964095.356528
Sent speed: 47.795982 at timestamp: 1765964095.366736
Sent speed: 21.994223 at timestamp: 1765964095.376918
Sent speed: 12.142193 at timestamp: 1765964095.387156
Sent speed: 77.986488 at timestamp: 1765964095.397446
Sent speed: 78.670143 at timestamp: 1765964095.407612
Sent speed: 85.495064 at timestamp: 1765964095.417866
Sent speed: 61.925571 at timestamp: 1765964095.428123
Sent speed: 80.898544 at timestamp: 1765964095.438405
Sent speed: 71.559624 at timestamp: 1765964095.448677
Sent speed: 21.437536 at timestamp: 1765964095.458917
Sent speed: 70.768105 at timestamp: 1765964095.469205
Sent speed: 21.366190 at timestamp: 1765964095.479438
Sent speed: 52.362679 at timestamp: 1765964095.489664
Sent speed: 7.845598 at timestamp: 1765964095.499930
Sent speed: 67.921432 at timestamp: 1765964095.510143
Sent speed: 53.238232 at timestamp: 1765964095.520382
Sent speed: 54.206322 at timestamp: 1765964095.530673
Sent speed: 10.135315 at timestamp: 1765964095.540953
Sent speed: 26.342213 at timestamp: 1765964095.551255
Sent speed: 56.090691 at timestamp: 1765964095.561506
Sent speed: 8.160193 at timestamp: 1765964095.571794
Sent speed: 98.984894 at timestamp: 1765964095.582078
Sent speed: 86.173798 at timestamp: 1765964095.592336
Sent speed: 1.790940 at timestamp: 1765964095.602620
Sent speed: 48.832466 at timestamp: 1765964095.612834
Sent speed: 33.234241 at timestamp: 1765964095.623088
Sent speed: 59.783699 at timestamp: 1765964095.633358
Sent speed: 93.325272 at timestamp: 1765964095.643563
Sent speed: 51.919575 at timestamp: 1765964095.653811
Sent speed: 87.178070 at timestamp: 1765964095.664073
Sent speed: 58.286137 at timestamp: 1765964095.674355
Sent speed: 7.105944 at timestamp: 1765964095.684522
Sent speed: 87.440186 at timestamp: 1765964095.694780
Sent speed: 26.038364 at timestamp: 1765964095.705046
Sent speed: 34.952442 at timestamp: 1765964095.715279
Sent speed: 96.120445 at timestamp: 1765964095.725541
Sent speed: 38.125118 at timestamp: 1765964095.735790
Sent speed: 33.593304 at timestamp: 1765964095.746057
Sent speed: 83.321373 at timestamp: 1765964095.756323
Sent speed: 27.243090 at timestamp: 1765964095.766585
Sent speed: 46.260796 at timestamp: 1765964095.776856
Sent speed: 10.197447 at timestamp: 1765964095.787110
Sent speed: 49.267342 at timestamp: 1765964095.797393
Sent speed: 18.025702 at timestamp: 1765964095.807579
Sent speed: 53.616207 at timestamp: 1765964095.817768
Sent speed: 19.239429 at timestamp: 1765964095.828021
Sent speed: 10.609111 at timestamp: 1765964095.838315
Sent speed: 55.244793 at timestamp: 1765964095.848493
Sent speed: 1.152985 at timestamp: 1765964095.858744
Sent speed: 17.685648 at timestamp: 1765964095.869018
Sent speed: 63.138039 at timestamp: 1765964095.879286
Sent speed: 89.859039 at timestamp: 1765964095.889669
Sent speed: 45.949062 at timestamp: 1765964095.899954
Sent speed: 17.887409 at timestamp: 1765964095.910162
Sent speed: 55.071568 at timestamp: 1765964095.920360
Sent speed: 35.586823 at timestamp: 1765964095.930621
Sent speed: 72.903885 at timestamp: 1765964095.940893
Sent speed: 86.101387 at timestamp: 1765964095.951154
Sent speed: 80.582413 at timestamp: 1765964095.961423
Sent speed: 70.257393 at timestamp: 1765964095.971699
Sent speed: 83.445808 at timestamp: 1765964095.981871
Sent speed: 16.811831 at timestamp: 1765964095.992021
Sent speed: 82.676353 at timestamp: 1765964096.002297
Sent speed: 40.088947 at timestamp: 1765964096.012475
Sent speed: 78.260376 at timestamp: 1765964096.022629
Sent speed: 3.731287 at timestamp: 1765964096.032894
Sent speed: 14.314820 at timestamp: 1765964096.043166
Sent speed: 86.733185 at timestamp: 1765964096.053350
Sent speed: 18.523443 at timestamp: 1765964096.063612
Sent speed: 13.406621 at timestamp: 1765964096.073884
Sent speed: 65.807846 at timestamp: 1765964096.084053
Sent speed: 8.401854 at timestamp: 1765964096.094298
Sent speed: 17.605791 at timestamp: 1765964096.104592
Sent speed: 32.132938 at timestamp: 1765964096.114876
Sent speed: 91.823242 at timestamp: 1765964096.125133
Sent speed: 3.299034 at timestamp: 1765964096.135412
Sent speed: 58.333122 at timestamp: 1765964096.145688
Sent speed: 65.657784 at timestamp: 1765964096.155952
Sent speed: 5.410538 at timestamp: 1765964096.166205
Sent speed: 3.083966 at timestamp: 1765964096.176369
Sent speed: 45.618626 at timestamp: 1765964096.186533
Sent speed: 85.503487 at timestamp: 1765964096.196700
Sent speed: 20.041344 at timestamp: 1765964096.206964
Sent speed: 53.288811 at timestamp: 1765964096.217197
Sent speed: 18.396999 at timestamp: 1765964096.227448
Sent speed: 35.516220 at timestamp: 1765964096.237774
Sent speed: 58.651447 at timestamp: 1765964096.248033
Sent speed: 90.654457 at timestamp: 1765964096.258279
Sent speed: 52.511360 at timestamp: 1765964096.268543
Sent speed: 77.346718 at timestamp: 1765964096.278730
Sent speed: 42.258102 at timestamp: 1765964096.288977
Sent speed: 48.671150 at timestamp: 1765964096.299236
Sent speed: 81.370773 at timestamp: 1765964096.309542
Sent speed: 20.789251 at timestamp: 1765964096.319711
Sent speed: 39.217709 at timestamp: 1765964096.329985
Sent speed: 69.769539 at timestamp: 1765964096.340260
Sent speed: 7.518871 at timestamp: 1765964096.350525
Sent speed: 82.411674 at timestamp: 1765964096.360780
Sent speed: 82.771027 at timestamp: 1765964096.371063
Sent speed: 90.244377 at timestamp: 1765964096.381339
Sent speed: 16.362520 at timestamp: 1765964096.391603
Sent speed: 15.875663 at timestamp: 1765964096.401852
Sent speed: 98.739090 at timestamp: 1765964096.412130
Sent speed: 62.874187 at timestamp: 1765964096.422437
Sent speed: 88.757576 at timestamp: 1765964096.432697
Sent speed: 34.079788 at timestamp: 1765964096.442961
Sent speed: 99.043938 at timestamp: 1765964096.453256
Sent speed: 30.753071 at timestamp: 1765964096.463432
Sent speed: 42.096378 at timestamp: 1765964096.473726
Sent speed: 3.633320 at timestamp: 1765964096.483981
Sent speed: 22.032730 at timestamp: 1765964096.494228
Sent speed: 31.027317 at timestamp: 1765964096.504381
Sent speed: 23.246824 at timestamp: 1765964096.514633
Sent speed: 85.846764 at timestamp: 1765964096.524848
Sent speed: 70.121635 at timestamp: 1765964096.535118
Sent speed: 24.331060 at timestamp: 1765964096.545412
Sent speed: 73.154007 at timestamp: 1765964096.555574
Sent speed: 19.312243 at timestamp: 1765964096.565815
Sent speed: 79.124245 at timestamp: 1765964096.576086
Sent speed: 7.429790 at timestamp: 1765964096.586321
Sent speed: 16.493534 at timestamp: 1765964096.596580
Sent speed: 19.078678 at timestamp: 1765964096.606848
Sent speed: 7.604133 at timestamp: 1765964096.617141
Sent speed: 46.417133 at timestamp: 1765964096.627420
Sent speed: 59.791714 at timestamp: 1765964096.637652
Sent speed: 72.689934 at timestamp: 1765964096.647918
Sent speed: 16.706196 at timestamp: 1765964096.658196
Sent speed: 53.223251 at timestamp: 1765964096.668448
Sent speed: 64.531761 at timestamp: 1765964096.678720
Sent speed: 19.616375 at timestamp: 1765964096.688983
Sent speed: 93.965233 at timestamp: 1765964096.699231
Sent speed: 29.193068 at timestamp: 1765964096.709465
Sent speed: 82.862701 at timestamp: 1765964096.719739
Sent speed: 11.430065 at timestamp: 1765964096.729983
Sent speed: 83.502571 at timestamp: 1765964096.740253
Sent speed: 91.253197 at timestamp: 1765964096.750525
Sent speed: 6.383228 at timestamp: 1765964096.760774
Sent speed: 76.709801 at timestamp: 1765964096.771028
Sent speed: 43.790424 at timestamp: 1765964096.781254
Sent speed: 89.914429 at timestamp: 1765964096.791465
Sent speed: 85.268494 at timestamp: 1765964096.801602
Sent speed: 94.379402 at timestamp: 1765964096.811767
Sent speed: 83.897301 at timestamp: 1765964096.822007
Sent speed: 44.512119 at timestamp: 1765964096.832217
Sent speed: 64.961189 at timestamp: 1765964096.842363
Sent speed: 6.506649 at timestamp: 1765964096.852514
Sent speed: 77.975586 at timestamp: 1765964096.862718
Sent speed: 55.877430 at timestamp: 1765964096.872931
Sent speed: 32.890381 at timestamp: 1765964096.883207
Sent speed: 82.828415 at timestamp: 1765964096.893349
Sent speed: 39.272652 at timestamp: 1765964096.903477
Sent speed: 2.743429 at timestamp: 1765964096.913616
Sent speed: 66.296715 at timestamp: 1765964096.923845
Sent speed: 85.923355 at timestamp: 1765964096.934045
Sent speed: 63.779728 at timestamp: 1765964096.944312
Sent speed: 80.565132 at timestamp: 1765964096.954530
Sent speed: 42.988945 at timestamp: 1765964096.964664
Sent speed: 67.744003 at timestamp: 1765964096.974794
Sent speed: 57.315559 at timestamp: 1765964096.984998
Sent speed: 60.080372 at timestamp: 1765964096.995213
Sent speed: 17.749245 at timestamp: 1765964097.005391
Sent speed: 44.047443 at timestamp: 1765964097.015558
Sent speed: 29.128815 at timestamp: 1765964097.025692
Sent speed: 14.246840 at timestamp: 1765964097.035822
Sent speed: 58.855392 at timestamp: 1765964097.046055
Sent speed: 13.213360 at timestamp: 1765964097.056298
Sent speed: 99.680618 at timestamp: 1765964097.066413
Sent speed: 98.770607 at timestamp: 1765964097.076630
Sent speed: 37.419392 at timestamp: 1765964097.086850
Sent speed: 5.656208 at timestamp: 1765964097.096981
Sent speed: 84.970222 at timestamp: 1765964097.107201
Sent speed: 96.206978 at timestamp: 1765964097.117426
Sent speed: 4.115720 at timestamp: 1765964097.127629
Sent speed: 44.302132 at timestamp: 1765964097.137769
Sent speed: 94.859924 at timestamp: 1765964097.148070
Sent speed: 96.389511 at timestamp: 1765964097.158266
Sent speed: 33.167625 at timestamp: 1765964097.168386
Sent speed: 73.724136 at timestamp: 1765964097.178590
Sent speed: 84.039154 at timestamp: 1765964097.188807
Sent speed: 18.184027 at timestamp: 1765964097.198932
Sent speed: 55.146854 at timestamp: 1765964097.209144
Sent speed: 81.628296 at timestamp: 1765964097.219316
Sent speed: 62.229824 at timestamp: 1765964097.229442
Sent speed: 52.036888 at timestamp: 1765964097.239539
Sent speed: 85.865105 at timestamp: 1765964097.249668
Sent speed: 2.016201 at timestamp: 1765964097.259819
Sent speed: 51.177250 at timestamp: 1765964097.269940
Sent speed: 14.720925 at timestamp: 1765964097.280159
Sent speed: 94.187836 at timestamp: 1765964097.290323
Sent speed: 77.617096 at timestamp: 1765964097.300449
Sent speed: 5.274293 at timestamp: 1765964097.310590
Sent speed: 23.186270 at timestamp: 1765964097.320743
Sent speed: 62.252068 at timestamp: 1765964097.330952
Sent speed: 48.006512 at timestamp: 1765964097.341150
Sent speed: 61.956860 at timestamp: 1765964097.351297
Sent speed: 84.244881 at timestamp: 1765964097.361515
Sent speed: 82.829926 at timestamp: 1765964097.371635
Sent speed: 86.482506 at timestamp: 1765964097.381789
Sent speed: 48.596458 at timestamp: 1765964097.391988
Sent speed: 36.312378 at timestamp: 1765964097.402114
Sent speed: 90.783600 at timestamp: 1765964097.412287
Sent speed: 11.582431 at timestamp: 1765964097.422435
Sent speed: 45.367569 at timestamp: 1765964097.432575
Sent speed: 65.880974 at timestamp: 1765964097.442830
Sent speed: 27.250284 at timestamp: 1765964097.453050
Sent speed: 75.387260 at timestamp: 1765964097.463296
Sent speed: 48.971176 at timestamp: 1765964097.473424
Sent speed: 17.409893 at timestamp: 1765964097.483572
Sent speed: 93.586555 at timestamp: 1765964097.493762
Sent speed: 77.342178 at timestamp: 1765964097.503971
Sent speed: 85.881630 at timestamp: 1765964097.514284
Sent speed: 54.646671 at timestamp: 1765964097.524521
Sent speed: 23.945839 at timestamp: 1765964097.534785
Sent speed: 41.090504 at timestamp: 1765964097.544996
Sent speed: 19.970325 at timestamp: 1765964097.555232
Sent speed: 81.254166 at timestamp: 1765964097.565378
Sent speed: 89.179024 at timestamp: 1765964097.575516
Sent speed: 77.876717 at timestamp: 1765964097.585754
Sent speed: 45.943851 at timestamp: 1765964097.595973
Sent speed: 14.339881 at timestamp: 1765964097.606201
Sent speed: 75.337013 at timestamp: 1765964097.616358
Sent speed: 74.492798 at timestamp: 1765964097.626489
